MatchID,Map,Player,Team,Agent,Rating,Average Combat Score,Kills,Deaths,Assists,First Kills,First Deaths
15,Icebox,BuZz,DRX,jett,0.83,209,17,18,1,5,2
15,Icebox,BeYN,DRX,sova,0.55,123,11,19,2,0,2
15,Icebox,d4v41,PRX,killjoy,1.11,197,17,14,4,0,3
15,Icebox,mindfreak,PRX,viper,1.08,222,19,16,7,2,0
15,Icebox,f0rsakeN,PRX,kayo,1.02,221,16,19,21,2,0
15,Icebox,something,PRX,jett,0.93,224,19,21,1,6,3
15,Icebox,Jinggg,PRX,sage,0.72,153,13,18,3,0,7
15,Ascent,BuZz,DRX,jett,1.66,319,24,12,2,2,1
15,Ascent,MaKo,DRX,omen,1.32,246,20,11,9,5,1
15,Ascent,Foxy9,DRX,kayo,1.06,191,12,12,14,1,2
15,Ascent,BeYN,DRX,sova,0.93,180,13,13,3,3,2
15,Ascent,Flashback,DRX,killjoy,0.65,122,7,15,7,2,1
15,Ascent,d4v41,PRX,skye,1.10,225,14,15,14,0,1
15,Ascent,f0rsakeN,PRX,harbor,1.02,215,15,16,9,2,3
15,Ascent,mindfreak,PRX,omen,0.98,148,14,12,6,0,1
15,Ascent,something,PRX,reyna,0.90,177,13,15,4,3,3
15,Ascent,Jinggg,PRX,raze,0.59,172,7,18,9,2,5
16,Haven,Karon,GEN,omen,1.02,240,17,14,5,3,2
16,Haven,Lakia,GEN,skye,0.94,211,14,14,4,1,2
16,Haven,t3xture,GEN,jett,0.77,209,14,16,3,2,4
16,Haven,Munchkin,GEN,viper,0.74,194,12,15,7,0,1
16,Haven,Meteor,GEN,killjoy,0.40,88,5,14,0,2,3
16,Haven,MaKo,DRX,omen,1.49,243,17,11,12,1,0
16,Haven,Flashback,DRX,cypher,1.39,216,16,10,6,2,1
16,Haven,BuZz,DRX,jett,1.26,266,19,14,5,4,3
16,Haven,Foxy9,DRX,breach,1.26,220,14,13,11,3,1
16,Haven,BeYN,DRX,sova,0.70,84,6,14,4,1,2
16,Bind,Munchkin,GEN,viper,1.44,271,34,20,17,2,1
16,Bind,t3xture,GEN,raze,1.11,241,27,24,10,10,2
16,Bind,Karon,GEN,brimstone,1.09,220,27,23,12,1,2
16,Bind,Lakia,GEN,skye,1.08,202,24,23,13,6,3
16,Bind,Meteor,GEN,cypher,0.98,215,27,25,8,5,2
16,Bind,BuZz,DRX,raze,1.24,280,33,27,3,5,5
16,Bind,Flashback,DRX,viper,0.99,209,25,26,14,2,2
16,Bind,BeYN,DRX,fade,0.77,170,19,28,9,1,6
16,Bind,MaKo,DRX,brimstone,0.70,176,19,28,10,0,5
16,Bind,Foxy9,DRX,gekko,0.65,171,19,30,12,2,6
16,Lotus,Meteor,GEN,killjoy,1.21,255,24,18,8,3,2
16,Lotus,Karon,GEN,omen,1.16,197,19,16,13,2,2
16,Lotus,Munchkin,GEN,viper,1.07,189,15,16,14,2,0
16,Lotus,t3xture,GEN,raze,1.01,254,24,22,3,7,7
16,Lotus,Lakia,GEN,fade,1.00,137,14,15,14,1,0
16,Lotus,Foxy9,DRX,breach,1.02,207,19,20,8,2,1
16,Lotus,MaKo,DRX,omen,1.01,194,17,18,10,0,2
16,Lotus,BuZz,DRX,neon,0.98,249,21,23,6,4,4
16,Lotus,BeYN,DRX,fade,0.95,169,15,18,8,0,1
16,Lotus,Flashback,DRX,chamber,0.80,166,15,17,2,5,7
16,Icebox,Meteor,GEN,killjoy,1.59,264,20,8,4,2,1
16,Icebox,Lakia,GEN,gekko,1.35,254,16,11,13,2,2
16,Icebox,Munchkin,GEN,kayo,1.27,156,9,7,17,0,1
16,Icebox,t3xture,GEN,jett,1.21,222,16,11,3,7,1
16,Icebox,Karon,GEN,viper,1.20,207,14,10,6,3,0
16,Icebox,MaKo,DRX,viper,0.85,181,9,15,10,1,3
16,Icebox,Flashback,DRX,killjoy,0.72,177,12,16,1,0,2
16,Icebox,BuZz,DRX,jett,0.71,156,11,14,0,1,5
16,Icebox,BeYN,DRX,sova,0.69,147,9,16,3,1,3
16,Icebox,Foxy9,DRX,gekko,0.55,74,6,14,3,2,1
